date,code,open,high,low,close,volume,amount,turn,pctChg
2020-03-11,sh.600519,1001.1390660000,1013.3381469600,988.5760920000,1003.7556302400,3554757,4124607952.0000,0.283000,0.218000
2020-03-12,sh.600519,988.7667026400,998.9730360000,974.8001412000,986.4100620000,3663063,4172606105.0000,0.291600,-1.728100
2020-03-13,sh.600519,944.3890800000,978.1618197600,935.7249600000,963.4761363600,7588531,8348496480.0000,0.604100,-2.325000
2020-03-16,sh.600519,956.5015197600,959.9411754000,920.1295440000,924.4616040000,5123254,5548946745.0000,0.407800,-4.049400
2020-03-17,sh.600519,914.0646600000,933.9921360000,876.0465014400,905.4871812000,7935912,8277472787.0000,0.631700,-2.052500
2020-03-18,sh.600519,901.0684800000,918.3967200000,873.3346318800,873.3346318800,7345988,7582762547.0000,0.584800,-3.550900
2020-03-19,sh.600519,861.2048638800,879.4081800000,831.8421612000,862.9463520000,10226507,10075880470.0000,0.814100,-1.189500
2020-03-20,sh.600519,875.9425320000,903.6677160000,875.9425320000,896.9790153600,6013919,6169094444.0000,0.478700,3.943800
2020-03-23,sh.600519,866.4120000000,896.9790153600,859.0648262400,882.8738280000,4847210,4918121944.0000,0.385900,-1.572500
2020-03-24,sh.600519,903.6677160000,917.4263385600,896.7364200000,914.9310720000,4665096,4900364144.0000,0.371400,3.631000
2020-03-25,sh.600519,942.6389277600,945.5674003200,930.6997704000,935.8116012000,3704866,4015061222.0000,0.294900,2.282200
2020-03-26,sh.600519,929.9459919600,945.4287744000,920.1295440000,922.6594670400,3004856,3231754298.0000,0.239200,-1.405400
2020-03-27,sh.600519,940.0570200000,946.1219040000,931.4015641200,931.8261060000,3626112,3931759353.0000,0.288700,0.993500
2020-03-30,sh.600519,918.6133230000,933.1257240000,915.7974840000,928.7936640000,3068741,3279823025.0000,0.244300,-0.325400
2020-03-31,sh.600519,937.4577840000,966.0493800000,937.2845016000,962.5837320000,4798437,5293170703.0000,0.382000,3.638100
2020-04-01,sh.600519,967.7822040000,978.1791480000,955.6524360000,955.6524360000,3320535,3700184247.0000,0.264300,-0.720100
2020-04-02,sh.600519,956.5188480000,992.0417400000,956.4148785600,992.0417400000,4520561,5095167594.0000,0.359900,3.807800
2020-04-03,sh.600519,986.8692603600,994.6063195200,980.7610557600,987.5277334800,2761761,3148421866.0000,0.219900,-0.455000
2020-04-07,sh.600519,1006.7274234000,1010.6695980000,995.4120826800,1004.9945994000,4348800,5041525481.0000,0.346200,1.768700
2020-04-08,sh.600519,998.1066240000,1010.5049797200,998.1066240000,1004.8299811200,2422442,2809422100.0000,0.192800,-0.016400
2020-04-09,sh.600519,1010.2363920000,1012.8356280000,994.6063195200,1003.7383020000,2281697,2640230492.0000,0.181600,-0.108600
2020-04-10,sh.600519,1003.2011265600,1023.6657780000,999.4062420000,1009.3699800000,2780434,3252600672.0000,0.221300,0.561100
2020-04-13,sh.600519,1009.3699800000,1013.6847117600,995.0741820000,1007.0306676000,1598147,1854563731.0000,0.127200,-0.231800
2020-04-14,sh.600519,1018.9005120000,1032.3732186000,1010.2363920000,1026.7848612000,3679955,4340858665.0000,0.292900,1.961600
2020-04-15,sh.600519,1032.7631040000,1043.1513838800,1028.5176852000,1030.6837152000,2933229,3501318260.0000,0.233500,0.379700
2020-04-16,sh.600519,1033.6035236400,1037.1818052000,1025.9184492000,1037.1818052000,2172774,2588431844.0000,0.173000,0.630500
2020-04-17,sh.600519,1048.3585200000,1069.6375987200,1044.0351241200,1062.2211120000,3824569,4676618151.0000,0.304500,2.414200
2020-04-20,sh.600519,1057.8890520000,1066.9863780000,1054.2501216000,1063.3474476000,2423864,2963483323.0000,0.193000,0.106000
2020-04-21,sh.600519,1057.9063802400,1060.4796238800,1033.6295160000,1039.6944000000,2922422,3517018487.0000,0.232600,-2.224400
2020-04-22,sh.600519,1044.8928720000,1082.5817940000,1041.6178346400,1078.2497340000,4403473,5430377598.0000,0.350500,3.708300
2020-04-23,sh.600519,1083.0150000000,1096.6003401600,1081.0829012400,1084.9730911200,2689851,3377042463.0000,0.214100,0.623500
2020-04-24,sh.600519,1081.2821760000,1091.5838146800,1070.1747741600,1083.5001907200,1912240,2390444036.0000,0.152200,-0.135800
2020-04-27,sh.600519,1089.0798840000,1107.4218260400,1083.8467555200,1105.5417120000,2590391,3284513346.0000,0.206200,2.034300
2020-04-28,sh.600519,1113.6080077200,1126.2836152800,1101.9720945600,1108.2535815600,3466190,4458549425.0000,0.275900,0.245300
2020-04-29,sh.600519,1107.1012536000,1116.0252972000,1089.9462960000,1104.5886588000,2344406,2976724957.0000,0.186600,-0.330700
2020-04-30,sh.600519,1101.2096520000,1113.3480841200,1090.7087385600,1096.6176684000,2466087,3134408881.0000,0.196300,-0.721600
2020-05-06,sh.600519,1083.8814120000,1126.3356000000,1083.0150000000,1126.3356000000,3583481,4598589768.0000,0.285300,2.710000
2020-05-07,sh.600519,1125.8157528000,1139.3231158800,1120.2707160000,1136.7325440000,2793474,3647628296.0000,0.222400,0.923100
